name,website,elevator_pitch,description,technology_description,mit_connection,contact,founded,employees,technology,industry,capital_raised,keywords,profile_url,scraped_at
"1S1 ENERGY, INC. Edit",http://www.1s1energy.com,1s1 Energy is developing materials science innovations that will reduce the barriers for adoption for renewable hydrogen.,1s1 Energy is enabling a carbon-free economy through advanced Materials Science. The mission is to develop economically viable and scalable solutions to drastically reduce carbon emissions within the decade. The goal is to become the world’s leading manufacturer of water electrolysis systems for hydrogen production using renewable energy: Green Hydrogen,"1s1 Energy’s PEM technology employs proprietary materials innovations. For example, acid groups compatible with many backbone materials, including non-perfluorinated, circular ones. They enable significant improvements in the performance, durability, and cost of both PEM fuel cell and PEM electrolysis systems. In water electrolysis systems, 1s1 Energy seems to be the only new entrant in the equipment market seeking to improve the LCOH through materials and engineering innovation. This vertical integration enables optimization across every system level and strategic control of our supply chain.","MIT alumni as founder | 1s1 Energy's CEO, Daniel Sobek, is an MIT alumn (B.S./16, MS/2, Ph.D./6) SB 1988 School of Engineering (Major: AeroAstro), SM 1992 School of Engineering (Major: Mechanical Engineering) - dxsobek@alum.mit.edu and Cell Phone: 650 5156621","No Street Listed, Portola Valley, CA, 94028 • daniel.sobek@1s1energy.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Dec 4, 2019",1-9,Energy Tech,Energy,Under $2M,Renewable hydrogen use and production,https://startupexchange.mit.edu/node/35018,2025-08-22T11:07:03
21GEO Edit,https://www.21geometry.com/,"21Geo has invented the Precise Motion Technology that enables bearings to support complex motions. The technology comprises a new type of mechanism, on a par with gears, cams and linkages.","21Geo develops and markets the Precise Motion Technology, a new type of mechanism. The technology creates high-efficiency transmissions and mechanisms components. The mechanisms have best-in-class features for robotics and motion control applications. They are also best-in-class for electric vehicles. The technology has unique capabilities for mechanisms. It offers more design flexibility than other types (eg: gears, cams, and linkages) and can solve problems that were not possible before. 21Geo's Center of Excellence helps customers adapt the technology to their specific needs.","The Precise Motion Technology (PMT) takes as an input, the description of motion for two components to create a Motion Specialized Bearing (MSB). Multiple MSB's can be combined to create mechanisms. The technology takes as inputs the description of motion of two components (X, Y, and Rotation). A mathematical optimizer shapes the raceways to ensure the pins roll freely and the contact points on the pins oppose each other. The opposing contact points are carry-forward features from circular bearings. By opposing, a mispositioned pin does not jam. The sensitivity to manufacturing errors are minimized as well. The three input arrays (X, Y, and Rotation) comprise three independent degrees of freedom. That's more than any other type of mechanism. Linkages offer a discreet degree of freedom for each link. The resulting motion is an approximation where PMT offers exact motion. It's this freedom that makes PMT stand out. The transmissions are smaller, more durable, and quieter than gears. It's these features that will make 21Geo's transmissions the preferred drive for robotics and electric vehicles.",MIT alumni as founder | Thomas Dobroth '83 and '85 is the founder.,"dobroth@alum.mit.edu, dobroth@gmail.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Oct 25, 2018",1-9,Hardware/Software Combos & Devices,Aerospace & Defense,Under $2M,,https://startupexchange.mit.edu/node/19721,2025-08-22T11:07:09
2PI Edit,https://www.2pioptics.com/,"2Pi is a MIT spin-off developing nove optical technologies in sensing, imaging, navigation and beyond. The mission of the company is to create disruptive ultra-compact flat optics products to transform a variety of applications in consumer electronics, automotive, and industry applications, which are traditionally bulky, complicated and costly. Our team bring together in-depth experience in optical engineering, semiconductor production, nanofabrication, material science, and high-tech comme","High-performance miniaturized optical systems with wide field-of-view (FOV) and high-resolution are widely demanded in a variety of applications, such as 3-D optical sensing, imaging, LiDAR, virtual/augmented/mixed reality (AR/VR/MR) and so on. However, conventional optical solutions cannot keep up with the growing requirements as they are fundamentally limited by trade-offs among such key attributes, as well as the cost, and scalability of the optical systems. This challenge is further exaggerated in rapidly-growing markets requiring effective human-machine and machine-machine interactions in tight spaces.","2Pi develops advanced metasurface optics and optical engine products with unprecedented performance and compactness. Our patented flat optical technology uniquely offers a record extremely-wide FOV, high-resolution imaging or image projection, and an ultracompact device architecture. Enabled by this novel approach, we further develop innovative optical engines (e.g., 3-D sensors) for immersive experience, offering dramatically improved performance and reduced size, weight, power and cost (SWaP-C), tailored for consumer electronics, automotive, industrial automation, etc. When compared to state-of-the-art technologies, 2Pi’s meta-optics-enabled 3-D sensors feature a 2X extended FOV (up to 180°), 10X higher optical resolution (up to 9,000 × 9,000), significantly enhanced signal-to-noise ratios, and an ultra-compact form factor with a minimum element count (up to > 5X reduced module volume). Our versatile technology enables groundbreaking, highly-customizable optical solutions that meet the diverse and growing needs in the target market sectors.","MIT faculty as founder | MIT staff as founder | MIT alumni as founder | 2Pi Inc. is a startup company commercializing advanced optical technologies developed at MIT. We are discussion with MIT TLO for a license agreement. Co-founders: Juejun Hu (MIT faculty, DMSE), Tian Gu (MIT research scientist, MRL), Mikhail Shalaginov (MIT postdoc, DMSE).","1 Broadway, 14th Floor, Cambridge, MA, 02142 • gutian@2pioptics.com, gutian@mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu","Aug 18, 2021",1-9,Nanotech,Consumer,$2-10M,"Optics, metasurface, imaging, sensing, Consumer Electronics, AR/VR",https://startupexchange.mit.edu/node/35633,2025-08-22T11:07:44
3D ARCHITECH Edit,https://www.3d-architech.com/,"3D Architech revolutionizes metal manufacturing. We offer affordable (x100 lower cost than existing metal 3D printing), high-resolution (10 microns), carbon-neutral, and multi-material metal additive manufacturing, and outperforming 3D metal products. We first target the heatsink markets for data center cooling and expand to other industrial markets, including electric motor parts, fuel cells, water electrolysis, and medical devices.",We address fundamental metal manufacturing problems: manufacturable minimum feature size and the trade-off between part cost and production volume. Our gel-based metal additive manufacturing technology enables very fine-featured metal products with low part costs at any lot size. Our heatsink (3DA heatsink) with a fine-featured design can significantly improve thermal resistance and pressure drop for data center cooling.,"Our technology is gel-based metal manufacturing. We leverage the existing lithography-based 3D printing technologies to make metals. Our proprietary gel materials can be printed by any lithography-based 3D printer (SLA, DLP, LCD 3D printers), and our chemical process enables the conversion from gels to metals with the desired 3D structure. This method bypasses the fundamental metal manufacturing limitations and offers affordable (x100 lower cost than existing metal 3D printing), high-resolution (10 microns), carbon-neutral, and multi-material metal additive manufacturing.","MIT staff as founder | The startup has been selected for the Start.nano cohort 2022 from MIT.nano. (*) Kai Narita is currently an MIT Research Affiliate at Mech-E. Also a scientist with a Ph.D. degree in Materials Science from the California Institute of Technology, where he is also a Google Scholar.","No Street Listed, Cambridge, MA, 02139 • knarita@3d-architech.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jan 18, 2022",10-24,Advanced Manufacturing,Manufacturing,Under $2M,metal additive manufacturing; multi-scale manufacturing and optimization; multi-material additive manufacturing,https://startupexchange.mit.edu/node/35820,2025-08-22T11:08:19
4M THERAPEUTICS Edit,https://www.4mtx.net/,"4M Therapeutics Inc. (4MTx) develops therapies for central nervous system (CNS) disorders with blockbuster potential. We focus on targets implicated in a wide array of disorders and indications. We apply unique insights from our living human brain cell platform, which was developed through a collaborative effort between Harvard, MIT, and the University of Washington) to identify and design more effective and safer therapeutics. Safety and efficacy data for our lead compound, 4MT2001, support","4MTx is led by CEO Pablo Lapuerta, who has developed and obtained approval for multiple therapies. He introduced into clinical trials the first targeted CNS kinase inhibitor, achieving successful proof-of-concept. Board Chair Don Hayden, former President of Global Pharmaceuticals at Bristol Myers-Squibb, led the development and commercialization of the CNS blockbuster Abilify, with peak annual sales exceeding $6B. Board member Dr. Lawrence Goldstein, a co-founder of publicly-traded Cytokinetics, is professor emeritus at UC San Diego.","New technology allows stem cells to be derived from adults and induced to become neural progenitor cells that show activities of live brain tissue. For example, neural progenitor cells derived from adults with bipolar disorder have deficiencies in the WNT pathway, which is involved in neuroplasticity and neurogenesis. The WNT pathway is also deficient in late-onset Alzheimer's disease and other conditions. 4MTx has used neural progenitor cell technology, high-throughput screening, and other efforts to develop small molecule WNT enhancers. 4MTx is utilizing induced pluripotent stem cells (iPSCs) to develop other small molecules. Our most advanced candidates are potent, specific, and cross the blood brain barrier, and they could potentially help people with a variety of psychiatric and neurological disorders.","MIT faculty as founder | Li-Huei Tsai, PhD of the Tsai laboratory at MIT is joining 4M Therapeutics as a scientific founder","No Street Listed, Princeton, NJ, 08540 • pablo@4mtx.net, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jan 13, 2021",,Biotech Platform Tech,Biotechnology,Under $2M,"bipolar disorder, Alzheimer's disease, neurological disorders",https://startupexchange.mit.edu/node/31717,2025-08-22T11:08:53
"4MOTION ROBOTICS, INC. Edit",https://www.4motionrobotics.com/,"4Motion Robotics is a company that provides solution for home-based neuro-rehabilitation and digital wellness that are scientifically proven, affordable, and intuitive to use. We will will provide low-cost, subscription-based, intuitive-to-use rehabilitation robots for home use. The robots will provide a scientifically proven physical therapy program with online guidance from registered nurses and therapists. This solution can also connect users in a unique social space for mutual encouragement.","With an ever-increasing number of populations with neuromuscular diseases, the demand for effective neuro-rehabilitation is on the rise. Robotic rehabilitation has been regarded as a possible solution for many years. Still, it struggled to make an impact due to low accessibility, high costs, and a general lack of a business model to effectively reach the large pool of potential beneficiaries.","With the team's decades of experience in rehabilitation robotics, we have created an affordable home version of MIT-Manus, whose therapeutic benefit has been shown through over 1000+ patients worldwide. In addition, the unique marketing approach will allow a market breakthrough that no other rehab robotics company has been able to achieve, and bring maximum therapeutic benefit to the users while smartly navigating the difficult landscape of physical rehabilitation and satisfying all stakeholders.","MIT-licensed technology | MIT staff as founder | MIT alumni as founder | Founder is a current MIT employee (Principal Research Scientist in Mech-E, Hermano Igo Krebs) CTO is an MIT alumnus (Yun Seong Song, Ph.D. 2012)","414 Crescent Street, Waltham, MA, 02453 • hikrebs@gmail.com, hikrebs@mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu","Aug 1, 2017",1-9,Digital Health,Technology,Under $2M,Robotics Rehabilitation Robotics Robotic Arms for industrial Purposes Industrial Robots Technology Digital Wellness Telemedicine,https://startupexchange.mit.edu/node/2924,2025-08-22T11:09:29
"76BIO, INC. (FORMERLY TWO RIVER CONSULTING) Edit",https://www.76bio.com/,"76Bio (formerly known as Two Rivers Consulting) is a developer of biotechnology platform designed to degrade or break down unneeded proteins. The company develops transformational therapies, enabling patients with a life-threatening diseases to get treated by pioneering the next generation of targeted protein degradation.","76Bio (formerly known as Two Rivers Consulting) is a developer of biotechnology platform designed to degrade or break down unneeded proteins. The company develops transformational therapies, enabling patients with a life-threatening diseases to get treated by pioneering the next generation of targeted protein degradation.",76Bio aims to develop transformational therapies for patients with life-threatening disease by pioneering the next generation of targeted protein degraders.,MIT faculty as founder | Angela N Koehler and K Dane Wittrup are Scientific Advisors and possible Co-Founders,"689 Fifth Ave, Floor 12, New York, NY, 10022 • koehler@mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jun 2, 2017",1-9,,,,,https://startupexchange.mit.edu/node/3516,2025-08-22T11:10:03
AAVIA Edit,http://www.aavia.io/,"Aavia was born from a shared passion for solving problems in healthcare and improving female health and wellness. The solution is a patent-pending smart device and app that actually knows if a woman has taken her Birth Control Pills. The smart device contains sensors that recognize Pill count and position, and sends persistent and customizable reminders to her phone app via Bluetooth. MORE KEYWORDS: smart device, Zone Adjustments, Proactive Educational Tips, Symptom Tracking, Pill-Taking Habits","Aavia is empowering women by improving the Birth Control Pill experience with IoT and behavioral science. The solution is a patent-pending smart device and app that actually know if she’s taken her Birth Control Pill so she can take on her day with confidence. The smart device contains sensors that recognize Pill count and position, and sends persistent and customizable reminders to her phone app via Bluetooth. The phone app automatically logs the time of intake and boasts of several features, including time zone adjustments, proactive educational tips, symptom tracking, and actionable insights customized to her Pill-taking habits. Aavia is a stress-free Birth Control Pill compliance and experience for U.S. women.",,MIT alumni as founder | Co-Founder & CEO Aagya Mathur - MBA 2018 MIT Sloan School of Management (Major: Management - SM (2nd yr)) - aagyam@alum.mit.edu; Co-Founder & CPO Aya Suzuki - SB 2018 Mechanical Engineering - aksuzuki@alum.mit.edu,"Cambridge, MA 02139, Massachusetts • aagyam@alum.mit.edu, aksuzuki@alum.mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu","May 1, 2017",1-9,Healthcare,Health Care,NULL,,https://startupexchange.mit.edu/node/3394,2025-08-22T11:11:08
ACCION SYSTEMS INC. Edit,https://accion-systems.com/,"At Accion, we develop advanced technologies for the new space industry. We are striving to become a leader in high-quality, affordable propulsion technologies that enable increased access to space. Our propulsion systems are some of the first that can turn affordable satellites into capable ones.","Accion is developing advanced technologies for the new space industry. We are striving to become a leader in high-quality, affordable propulsion technologies that enable increased access to space. The propulsion systems are some of the first that can turn affordable satellites into capable ones. Accion will reinvest their knowledge and resources into bringing the latest advances from other industries to aerospace, and will work to lower barriers to entry through decreased development cycles and costs for propulsion and other subsystems.",,"MIT-licensed technology | MIT alumni as founder | (*) Natalya Bailey, (Ph.D. MIT), CEO and Co-Founder (*) Louis Perna, (MIT Graduate Education) Co-Founder","529 Main Street, Suite 114, Boston, MA, 02129 • natalya.brikner@gmail.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","May 5, 2014",1-9,Energy Tech,Technology,,,https://startupexchange.mit.edu/node/461,2025-08-22T11:11:43
ACTIVE SURFACES INC Edit,https://www.activesurfaces.xyz/,"Active Surfaces envisions a future where any surface can be solar. Its proprietary, MIT-patented technology makes it possible to apply flexible, light-weight solar panels to any surface. Its technology is 10x lighter, has comparable efficiency and stability, and is competitive on an LCOE-basis.","Active Surfaces is commercializing an ultra thin-film solar technology based on decades of MIT research. Its technology can unlock terawatts of dual land-use, next-generation deployment. Solar power is considered critical for global decarbonization, but the deployment of solar panels is currently limited due to their large size, heavy weight, and high cost. Furthermore, traditional solar panels can only be deployed in specific environments due to their form factor and the significant logistical effort required to move them. Active Surfaces is trying to overcome these limitations by developing ultra-thin, lightweight, flexible solar panels that can be rolled out on any surface, expanding solar accessibility globally. This solution primarily targets individuals and organizations that want to harness solar power but face constraints due to the limitations of traditional solar panels.","Active Surfaces envisions a future where any surface can be solar. Its proprietary, MIT-patented technology makes it possible to apply flexible, light-weight solar panels to any surface. Its technology is 10x lighter, has comparable efficiency and stability, and is competitive on an LCOE-basis. Active Surfaces' technology stands out because it allows for the development of solar panels that are as thin as paper, as efficient as traditional panels, and available at unprecedentedly low costs. It uses innovations from the field of materials science and manufacturing, developing solar panels that are thin, lightweight, durable, and flexible. They can be applied to any surface and transported in a roll, dramatically reducing installation costs. The company plans to manufacture its products in-house using a roll-to-roll manufacturing process, a first in semiconductor manufacturing, which traditionally has been used for items like labeling and tape. This roll-to-roll approach will allow for high-volume, low-cost production. The flexibility and lightness of the panels aim to expand the use cases to urban and other built environments, including commercial roofs, where the use of traditional heavy, rigid panels may not be feasible.",MIT-licensed technology | MIT student as founder | MIT alumni as founder | Richard Swartwout EECS '21 Shiv Bhakta LGO '24,"No Street Listed, Cambridge, MA, 02139 • info@atomicmachines.com, shiv@activesurfaces.xyz, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jul 1, 2023",1-9,Nanotech,Energy,Under $2M,"flexible, Solar, Lightweight",https://startupexchange.mit.edu/node/37930,2025-08-22T11:12:18
