# Public MIT YouTube Channels
# Format: channelHandle or channelId, optional name
# Lines starting with # are comments

# Computer Science & AI
@MITCSAIL,MIT CSAIL
@MITIBMLab,MIT-IBM Watson AI Lab
@MITSchwarzman,MIT Schwarzman College of Computing

# General MIT
@MIT,MIT Official
@mitocw,MIT OpenCourseWare
@MITResearch,MIT Research

# Schools & Labs
@MITSloan,MIT Sloan School of Management
@medialab,MIT Media Lab
@MITEngineering,MIT School of Engineering
@MITnano,MIT.nano

# Education & Learning
@MITOpenLearning,MIT Open Learning
@MITxCourses,MITx

# Research Centers & Initiatives
@mitenergyinitiative,MIT Energy Initiative
@MITQuantum,MIT Quantum Initiative
@MITClimate,MIT Climate & Sustainability Consortium

# Core Engineering Departments
@MITAeroAstro,MIT Department of Aeronautics and Astronautics
@MITEECS,MIT Department of Electrical Engineering and Computer Science
@MITNSE,MIT Nuclear Science and Engineering

# Interdisciplinary Labs & Centers
@MITLIDS,MIT Laboratory for Information and Decision Systems
@MITRLE,MIT Research Laboratory of Electronics
@MITPSFC,MIT Plasma Science and Fusion Center
@MITHaystack,MIT Haystack Observatory

# Life Sciences & Health
@McGovernMIT,McGovern Institute for Brain Research at MIT
@MITKoch,MIT Koch Institute for Integrative Cancer Research

# Joint MIT Institutes
@BroadInstitute,Broad Institute of MIT and Harvard

# Institute Infrastructure & Research Support
@MITLibraries,MIT Libraries

# If handles fail, use channel IDs
# UCxVJwZb9F3h6qk8dQZx9w4Q,MIT AeroAstro
# UC4R6l9eYy3RkqkM0k7yH6GQ,MIT EECS
# UCZ8ZcXJp1Y7VnKkK5nQ2n3A,MIT LIDS
# UCQyKkZp5x0Z6MZ9m7E6zYpA,MIT PSFC


# Other Channels (use channel IDs if handles fail)
# UCuKRJnHUTf8PNHjjP8sEqJg,MIT CSAIL
# UCf8jL9G2nqYxPp8g3z8X1Yw,MIT Media Lab
# UCYO_jab_esuFRV4b17AJtAw,MIT OpenCourseWare

